key,English,French,SimplifiedChinese,TraditionalChinese
tuto.annotation.souris.1,"When you think you have guessed the meaning of a glyph, you can click on it to note your hypothesis.","Quand vous pensez avoir deviné le sens d'un glyphe, cliquez dessus pour consigner votre hypothèse.",如果觉得自己猜到了某个字符的意思，可以点击字符，然后记下自己的猜测。,當你覺得已猜出某一字符的含義時，點按該字符即可記錄下你的猜測。
tuto.annotation.souris.2,"To exit the Journal, click on the Close button.","Pour quitter le Journal, cliquez sur le bouton de fermeture.",点击关闭按钮可以合上笔记本。,要退出日誌，請點按「關閉」按鈕。
tuto.annotation.pad.1.xbox,"When you think you have guessed the meaning of a glyph, select it and use the Annotation button to note your hypothesis.","Quand vous pensez avoir deviné le sens d'un glyphe, sélectionnez-le puis utilisez la touche d’Annotation pour consigner votre hypothèse.",如果觉得自己猜到了某个字符的意思，可以选中字符，然后按备注按钮记下自己的猜测。,當你覺得已猜出某一字符的含義時，選擇該字符並使用「註解」按鍵，即可記錄下你的猜測。
,"When you think you have guessed the meaning of a glyph, select it and use the Annotation Button to note your hypothesis.","Quand vous pensez avoir deviné le sens d'un glyphe, sélectionnez-le puis utilisez le bouton d’Annotation pour consigner votre hypothèse.",如果觉得自己猜到了某个字符的意思，可以选中字符，然后按备注键记下自己的猜测。,當你覺得已猜出某一字符的含義時，選擇該字符並使用「註解」鍵，即可記錄下你的猜測。
,"When you think you have guessed the meaning of a glyph, select it and use the Annotation button to note your hypothesis.","Quand vous pensez avoir deviné le sens d'un glyphe, sélectionnez-le puis utilisez la touche d’Annotation pour consigner votre hypothèse.",如果觉得自己猜到了某个字符的意思，可以选中字符，然后按备注按键记下自己的猜测。,當你覺得已猜出某一字符的含義時，選擇該字符並使用「註解」按鈕，即可記錄下你的猜測。
tuto.annotation.pad.2.xbox,"To exit the Journal, press the Cancel button.","Pour quitter le Journal, utilisez la touche Annuler.",按取消按钮可以合上笔记本。,要退出日誌，請按下「取消」按鍵。
,"To exit the Journal, press the Cancel Button.","Pour quitter le Journal, utilisez le bouton Annuler.",按取消键可以合上笔记本。,要退出日誌，請按下「取消」鍵。
,"To exit the Journal, press the Cancel button.","Pour quitter le Journal, utilisez la touche Annuler.",按取消按键可以合上笔记本。,要退出日誌，請按下「取消」按鈕。
tuto.validation.souris.1,Drag each glyph into the slot that you think matches it.,Glissez chaque glyphe dans l'emplacement qui semble lui correspondre.,觉得哪个字符意义合适，就把它拖进相应的圆圈。,拖動各個字符到你認為相符的欄位。
tuto.validation.pad.1.xbox,Use the Action button to move each glyph into the slot that you think matches it.,"Placez chaque glyphe dans l'emplacement qui semble lui correspondre, en le déplaçant grâce à la touche d’Action.",觉得哪个字符意义合适，就按行动按钮把它移进相应的圆圈。,使用「操作」按鍵，將各個字符移動到你認為相符的欄位。
,Use the Action Button to move each glyph into the slot that you think matches it.,"Placez chaque glyphe dans l'emplacement qui semble lui correspondre, en le déplaçant grâce au bouton d’Action.",觉得哪个字符意义合适，就按行动键把它移进相应的圆圈。,使用「操作」鍵，將各個字符移動到你認為相符的欄位。
,Use the Interaction button to move each glyph into the slot that you think matches it.,"Placez chaque glyphe dans l'emplacement qui semble lui correspondre, en le déplaçant grâce à la touche d’Interaction.",觉得哪个字符意义合适，就按互动按键把它移进相应的圆圈。,使用「互動」按鈕，將各個字符移動到你認為相符的欄位。
tuto.validation.2,"If all the glyphs on a double page are correct, they will be definitively validated.","Si tous les glyphes d'une double-page sont corrects, ils seront définitivement validés.",如果左右两页的字符都和绘图的含义匹配，它们的意义就通过了验证。,如果一組跨頁頁面上所有字符都配對正確，則這些字符的含義會獲得驗證。
tuto.validation.suite.1,"The more glyphs you translate, the better you will understand your interlocutors.","Plus vous traduirez de glyphes, mieux vous comprendrez vos interlocuteurs.",字符破译得越多，你就越能理解他人所说的话。,你破譯的字符越多，就越能理解與別人的對話内容。
tuto.validation.suite.2,"If you haven't figured out the meaning of a glyph yet or don't have enough slots in your Journal, keep looking around.","Si vous n'avez pas encore compris le sens d'un glyphe ou si vous manquez d'emplacements dans le Journal, continuez d'observer autour de vous.",如果还没有想到某个字符的含义或者笔记本的槽位不足，不用担心，继续四处看看。,倘若尚未弄清楚某個字符的含義，或者日誌內沒有足夠多的欄位，那就繼續到處找找吧。
tuto.liaison.1,"Some glyphs can be linked to the equivalent glyph of another language, even if it's not yet translated.","Certains glyphes peuvent être liés au glyphe équivalent d'une autre langue, même si celui-ci n'est pas encore traduit.",有些字符就算还没破译，也可以与其他语言意义相同的字符关联。,有些字符可以與其他語言中對等的字符連結起來，即使尚未破譯。
tuto.liaison.2,It is possible to validate the link from one glyph to another without having translated the original one yet.,Il est possible de valider la liaison d'un glyphe à un autre sans avoir encore traduit celui d'origine.,有时候不需要破译某个语言的某个字符，就可以验证它与另一个字符的关联。,無須破譯原先的字符，也能夠驗證兩個字符之間的連結。
tuto.inventaire.souris.1,Collected items are added to the Inventory. Click on the icon of an item to open it.,Les objets ramassés sont ajoutés à l'Inventaire. Cliquez sur l'icône d'un objet pour l'ouvrir.,东西拿到之后会放进行囊，点击物品图标就能打开行囊。,拾取的物品會加入背包。點按物品圖標，即可打開背包。
tuto.inventaire.souris.2,"From the Inventory, you can observe your items closely and rotate them.","Depuis l'Inventaire, vous pouvez observer vos objets de près et les faire pivoter.",打开行囊之后，可以随意旋转物品，仔细观察。,打開背包後，你可以旋轉物品，並近距離觀察。
tuto.inventaire.pad.1.xbox,Collected items are added to the Inventory. Press the Inventory button to open it.,Les objets ramassés sont ajoutés à l'Inventaire. Appuyez sur la touche Inventaire pour l'ouvrir.,东西拿到之后会放进行囊，按行囊按钮可以打开行囊。,拾取的物品會加入背包。按下「背包」按鍵，即可將其打開。
,Collected items are added to the Inventory. Press the Inventory Button to open it.,Les objets ramassés sont ajoutés à l'Inventaire. Appuyez sur le bouton Inventaire pour l'ouvrir.,东西拿到之后会放进行囊，按行囊键可以打开行囊。,拾取的物品會加入背包。按下「背包」鍵，即可將其打開。
,Collected items are added to the Inventory. Press the Inventory button to open it.,Les objets ramassés sont ajoutés à l'Inventaire. Appuyez sur la touche Inventaire pour l'ouvrir.,东西拿到之后会放进行囊，按行囊按键可以打开行囊。,拾取的物品會加入背包。按下「背包」按鈕，即可將其打開。
tuto.inventaire.pad.2.xbox,"From the Inventory, use the left stick to rotate an item.","Depuis l'Inventaire, utilisez le stick analogique gauche pour faire pivoter un objet.",打开行囊之后，可以使用左摇杆旋转物品。,打開背包後，使用左搖桿即可旋轉物品。
,"From the Inventory, use the Left Stick to rotate an item.","Depuis l'Inventaire, utilisez le stick gauche pour faire pivoter un objet.",打开行囊之后，可以使用L摇杆旋转物品。,打開背包後，使用L操控搖桿即可旋轉物品。
,"From the Inventory, use the left stick to rotate an item.","Depuis l'Inventaire, utilisez le joystick gauche pour faire pivoter un objet.",打开行囊之后，可以使用左操作杆旋转物品。,打開背包後，使用左操作桿即可旋轉物品。
tuto.combinaison.souris,"Some elements of the environment can be combined with items from your Inventory. To combine them, first click on the element, choose your item, then click on the Combine button.","Certains éléments du décor peuvent être associés avec des objets de votre Inventaire. Pour les associer, cliquez d'abord sur l'élément, choisissez votre objet, puis cliquez sur le bouton d’Association.",周围有些东西能和行囊里的物品组合。操作步骤：首先点击周围的东西，然后选择你的物品，最后点击组合按钮。,某些環境要素可以與你背包內的物品搭配使用。要將兩者組合起來，首先點按環境要素，選擇你的物品，然後點按「組合」按鈕。
